"id","query","sql"
"1","Query all network devices","SELECT * FROM NetworkDevice"
"2","Query the list of all switches in the production environment","SELECT * FROM NetworkDevice WHERE device_type = 'Switch' AND idc_room = 'Production DC'"
"3","Query CPU utilization of the switch named core-switch-01 in the last hour","SELECT d.device_name, k.cpu_usage, k.collect_time FROM NetworkDevice d JOIN NetworkDeviceKPI k ON d.device_id = k.device_id WHERE d.device_name = 'core-switch-01' AND k.collect_time >= NOW() - INTERVAL 1 HOUR"
"4","Query CPU utilization trend of all switches in the last 24 hours","SELECT d.device_name, s.avg_cpu, s.stat_time FROM NetworkDevice d JOIN NetworkDeviceSummary s ON d.device_id = s.device_id WHERE d.device_type = 'Switch' AND s.stat_time >= NOW() - INTERVAL 24 HOUR"
"5","Query memory usage of all switch devices in the network","SELECT d.device_name, k.memory_usage FROM NetworkDevice d JOIN NetworkDeviceKPI k ON d.device_id = k.device_id WHERE d.device_type = 'Switch'"
"6","Query slot information of devices","SELECT d.device_name, s.slot_model, s.slot_no FROM NetworkDevice d JOIN DeviceSlot s ON d.device_id = s.device_id"
"7","Query CPU utilization of all slots on a specific device","SELECT s.slot_no, k.cpu_usage FROM DeviceSlot s JOIN DeviceSlotKPI k ON s.slot_id = k.slot_id WHERE s.device_id = 'DEV001'"
"8","Query temperature of all slots in the last hour","SELECT s.slot_model, k.temperature FROM DeviceSlot s JOIN DeviceSlotKPI k ON s.slot_id = k.slot_id WHERE k.collect_time >= NOW() - INTERVAL 1 HOUR"
"9","Query historical performance trend of slots","SELECT s.slot_no, p.avg_temperature, p.stat_time FROM DeviceSlot s JOIN SlotSummary p ON s.slot_id = p.slot_id"
"10","Query port traffic of all router devices in the network","SELECT d.device_name, k.port_traffic FROM NetworkDevice d JOIN NetworkDeviceKPI k ON d.device_id = k.device_id WHERE d.device_type = 'Router'"
"11","Query all flash storage devices","SELECT * FROM FlashStorage"
"12","Query LUN group information of flash storage devices","SELECT s.storage_name, l.lun_group_name, l.lun_count FROM FlashStorage s JOIN LUNGroup l ON s.storage_id = l.storage_id"
"13","Query detailed information of LUN group named LUN-GROUP-01","SELECT * FROM LUNGroup WHERE lun_group_name = 'LUN-GROUP-01'"
"14","Query memory usage of database servers in the last day","SELECT d.device_name, k.memory_usage FROM NetworkDevice d JOIN NetworkDeviceKPI k ON d.device_id = k.device_id WHERE d.device_type = 'Server' AND k.collect_time >= NOW() - INTERVAL 1 DAY"
"15","Query alarm information of all network elements","SELECT * FROM NetworkDevice WHERE status = 'Alarm'"
"16","Query devices whose switch port bandwidth utilization exceeds 80%","SELECT d.device_name, k.bandwidth_usage FROM NetworkDevice d JOIN NetworkDeviceKPI k ON d.device_id = k.device_id WHERE d.device_type = 'Switch' AND k.bandwidth_usage > 80"
