"id","query","sql"
"1","查询全部的网络设备","SELECT * FROM EntNetworkElement"
"2","查询生产环境所有交换机的列表","SELECT * FROM EntNetworkElement WHERE device_type = '交换机' AND idc_room = '生产机房'"
"3","查询名称为core-switch-01的交换机最近一小时的CPU利用率","SELECT e.device_name, k.cpu_usage, k.collect_time FROM EntNetworkElement e JOIN EntNetworkElement2kpi k ON e.device_id = k.device_id WHERE e.device_name = 'core-switch-01' AND k.collect_time >= NOW() - INTERVAL 1 HOUR"
"4","查询所有交换机最近24小时的CPU利用率趋势","SELECT e.device_name, k.avg_cpu, k.stat_time FROM EntNetworkElement e JOIN kpi_network_device_info k ON e.device_id = k.device_id WHERE e.device_type = '交换机' AND k.stat_time >= NOW() - INTERVAL 24 HOUR"
"5","查询网络中所有交换机设备的内存使用率","SELECT e.device_name, k.memory_usage FROM EntNetworkElement e JOIN EntNetworkElement2kpi k ON e.device_id = k.device_id WHERE e.device_type = '交换机'"
"6","查询设备的单板信息","SELECT e.device_name, s.slot_model, s.slot_no FROM EntNetworkElement e JOIN EnterpriseSlot s ON e.device_id = s.device_id"
"7","查询某台设备所有单板的CPU利用率","SELECT s.slot_no, k.cpu_usage FROM EnterpriseSlot s JOIN EnterpriseSlot2kpi k ON s.slot_id = k.slot_id WHERE s.device_id = 'DEV001'"
"8","查询所有单板最近一小时的温度情况","SELECT s.slot_model, k.temperature FROM EnterpriseSlot s JOIN EnterpriseSlot2kpi k ON s.slot_id = k.slot_id WHERE k.collect_time >= NOW() - INTERVAL 1 HOUR"
"9","查询单板的历史性能趋势","SELECT s.slot_no, p.avg_temperature, p.stat_time FROM EnterpriseSlot s JOIN kpi_network_slot_info p ON s.slot_id = p.slot_id"
"10","查询全网路由器设备的端口流量","SELECT e.device_name, k.port_traffic FROM EntNetworkElement e JOIN EntNetworkElement2kpi k ON e.device_id = k.device_id WHERE e.device_type = '路由器'"
"11","查询全部的闪存存储设备","SELECT * FROM StorageDevice"
"12","查询闪存存储设备的LUN组信息","SELECT s.storage_name, l.lun_group_name, l.lun_count FROM StorageDevice s JOIN LUNGroup l ON s.storage_id = l.storage_id"
"13","查询名称为LUN-GROUP-01的LUN组的详细信息","SELECT * FROM LUNGroup WHERE lun_group_name = 'LUN-GROUP-01'"
"14","查询数据库服务器最近一天的内存使用率","SELECT e.device_name, k.memory_usage FROM EntNetworkElement e JOIN EntNetworkElement2kpi k ON e.device_id = k.device_id WHERE e.device_type = '服务器' AND k.collect_time >= NOW() - INTERVAL 1 DAY"
"15","查询所有网元的告警信息","SELECT * FROM EntNetworkElement WHERE status = '告警'"
"16","查询交换机端口带宽利用率超过80%的设备","SELECT e.device_name, k.bandwidth_usage FROM EntNetworkElement e JOIN EntNetworkElement2kpi k ON e.device_id = k.device_id WHERE e.device_type = '交换机' AND k.bandwidth_usage > 80"
